Customer_ID,Cus_Fname,Cus_Lname,Cus_zipcode,Cus_city,Cus_State,Cus_Region ,Cus_Salary,Cus_Gender,Cus_Age,Cus_Style,Cus_Email,Cus_career,Cus_tel
6-895-8878-66,Sage,Delacruz,93301,Bakersfield,California,Western,"15,938.00",M,63,slow,Sage.Delacruz@ google.com,Paramedic,1-895-669-645
0-998-9324-60,Emery,Collins,75201,Dallas,Texas,Southwestern,"47,107.00",F,60,fast,Emery.Collins@ google.com,Teacher Assistant,1-951-913-180
7-978-3459-64,Bridger,Sheppard,60601,Chicago,Illinois,MidWestern,"19,661.00",M,57,medium,Bridger.Sheppard@ google.com,Housekeeper,1-841-530-389
8-279-6179-38,Braeden,Leonard,95202,Stockton,California,Western,"7,578.00",F,41,fast ,Braeden.Leonard@ google.com,Designer,1-019-439-805
4-411-4351-20,Kendrick,Farmer,85251,Scottsdale,Arizona,Southwestern,"22,195.00",M,38,fast,Kendrick.Farmer@ google.com,Medical Assistant,1-691-137-449
6-712-9291-07,Julius,Whitaker,79901,El Paso,Texas,Southwestern,"6,611.00",F,51,slow,Julius.Whitaker@ google.com,Personal Care Aide,1-188-274-145
2-817-0039-61,Rigoberto,Rush,76010,Arlington,Texas,Southwestern,"43,149.00",F,53,slow,Rigoberto.Rush@ google.com,Educator,1-345-389-236
0-561-8432-76,Trevor,Hess,37201,Nashville-Davidson,Tennessee,Southeastern,"32,412.00",M,39,slow,Trevor.Hess@ google.com,Web Developer,1-613-640-899
2-358-7062-46,Nasir,Berry,14604,Rochester,New York,Northeastern,"8,778.00",F,25,slow,Nasir.Berry@ google.com,Drafter,1-627-025-395
9-014-4336-34,Gustavo,Richardson,43604,Toledo,Ohio,MidWestern,"66,772.00",F,36,fast,Gustavo.Richardson@ google.com,Bus Driver,1-413-429-119
3-161-5539-21,Leonel,Mckay,73102,Oklahoma City,Oklahoma,Southwestern,"6,186.00",M,64,medium,Leonel.Mckay@ google.com,School Counselor,1-403-214-079
7-141-6595-44,Leo,Cobb,23320,Chesapeake,Virginia,Southeastern,"32,930.00",F,62,medium,Leo.Cobb@ google.com,Actor,1-808-273-975
5-291-2731-57,Noe,Conner,85301,Glendale,Arizona,Southwestern,"61,480.00",F,40,medium,Noe.Conner@ google.com,Preschool Teacher,1-679-816-292
1-155-0277-46,Adriel,Davila,19103,Philadelphia,Pennsylvania,Northeastern,"43,887.00",M,33,fast,Adriel.Davila@ google.com,IT Manager,1-130-293-323
6-694-6683-51,Rashad,Arnold,67202,Wichita,Kansas,MidWestern,"5,912.00",F,64,slow,Rashad.Arnold@ google.com,Receptionist,1-195-811-611
5-043-7219-06,Trent,Tanner,89101,Las Vegas,Nevada,Western,"35,712.00",M,61,fast,Trent.Tanner@ google.com,High School Teacher,1-591-638-531
1-517-1035-26,Korbin,Hurley,92401,San Bernardino,California,Western,"36,313.00",F,25,medium,Korbin.Hurley@ google.com,Plumber,1-483-360-486
4-259-1558-33,Randy,Stark,94102,San Francisco, California,Western,"53,847.00",M,27,slow,Randy.Stark@ google.com,Computer Hardware Engineer,1-819-745-984
2-821-3771-55,Johnny,Carr,30303,Atlanta,Georgia,Southeastern,"27,098.00",M,55,slow,Johnny.Carr@ google.com,Editor,1-316-772-559
0-230-7942-49,Kristian,Williams,32202,Jacksonville,Florida,Southeastern,"8,961.00",M,64,slow,Kristian.Williams@ google.com,College Professor,1-917-256-688
5-459-9879-81,Yahir,Sampson,85255,Scottsdale,Arizona,Southwestern,"53,402.00",F,47,fast,Yahir.Sampson@ google.com,Physicist,1-786-450-921
5-738-9111-23,Finnegan,Kidd,73104,Oklahoma City, Oklahoma,Southwestern,"5,912.00",F,52,medium,Finnegan.Kidd@ google.com,School Psychologist,1-630-117-927
6-381-5206-51,Elian,Campos,33701,St. Petersburg, Florida,Southeastern,"12,540.00",F,38,medium,Elian.Campos@ google.com,Painter,1-428-880-603
1-085-1242-75,Mohamed,Mccullough,7302,Jersey City, New Jersey,Northeastern,"50,660.00",M,26,fast,Mohamed.Mccullough@ google.com,Human Resources Assistant,1-405-632-008
0-572-3374-41,Malcolm,Mendez,21201,Baltimore,Maryland,Northeastern,"33,543.00",F,42,medium,Malcolm.Mendez@ google.com,Coach,1-635-841-413
2-130-1371-46,Gael,Estrada,28202,Charlotte,North Carolina,Southeastern,"51,127.00",M,39,fast ,Gael.Estrada@ google.com,Public Relations Specialist,1-670-077-713
6-392-8846-51,Tate,Orozco,95814,Sacramento,California,Western,"54,391.00",F,48,fast,Tate.Orozco@ google.com,Speech-Language Pathologist,1-563-905-669
5-588-1000-43,Logan,Kaufman,53202,Milwaukee,Wisconsin,MidWestern,"38,074.00",M,32,slow,Logan.Kaufman@ google.com,HR Specialist,1-160-133-092
9-079-4723-48,Franklin,Sanford,27701,Durham,North Carolina,Southeastern,"13,525.00",F,54,slow,Franklin.Sanford@ google.com,Landscape Architect,1-814-951-151
3-745-4313-23,Mason,Velasquez,92805,Anaheim,California,Western,"30,808.00",M,27,slow,Mason.Velasquez@ google.com,Respiratory Therapist,1-942-579-333
0-378-1001-13,Abdullah,Case,95816,Sacramento,California,Western,"39,371.00",F,44,fast,Abdullah.Case@ google.com,Reporter,1-366-220-461
9-818-4475-63,Kolton,Wu,27601,Raleigh,North Carolina,Southeastern,"40,114.00",M,43,medium,Kolton.Wu@ google.com,Social Worker,1-253-771-035
8-561-4990-81,Rodolfo,Reid,92101,San Diego, California,Western,"69,628.00",F,51,medium,Rodolfo.Reid@ google.com,Maintenance & Repair Worker,1-947-639-468
9-305-9311-50,Ethan,Richards,32801,Orlando,Florida,Southeastern,"17,388.00",M,39,fast,Ethan.Richards@ google.com,Loan Officer,1-996-997-258
3-858-6086-82,Bradyn,Humphrey,95822,Sacramento,California,Western,"19,975.00",F,34,medium,Bradyn.Humphrey@ google.com,Real Estate Agent,1-470-246-907
4-257-3108-38,Sheldon,Wright,64106,Kansas City,Missouri,Southeastern,"34,711.00",F,25,medium,Sheldon.Wright@ google.com,Customer Service Representative,1-618-711-263
8-800-1329-75,Diego,Baird,11030,North Hempstead, New York,Northeastern,"24,616.00",F,50,medium,Diego.Baird@ google.com,Accountant,1-231-269-494
0-512-8971-45,August,Gibson,92701,Santa Ana, California,Western,"64,546.00",M,65,fast,August.Gibson@ google.com,Event Planner,1-570-682-493
9-202-3010-71,Jose,Rodriguez,36104,Montgomery,Alabama,Southeastern,"31,477.00",F,45,slow,Jose.Rodriguez@ google.com,Desktop publisher,1-821-645-482
5-237-1327-22,Brandon,Bender,55401,Minneapolis,Minnesota,MidWestern,"9,378.00",M,63,fast,Brandon.Bender@ google.com,Dancer,1-622-487-667
